№ П/П;node;pkt;trans;tr_s;sn
27;СЕ-2-1151П;;ТМ-10;63;
28;СЕ-2-1158П;;ТМ-10;25;
29;СЕ-2-13;20;ТМ-10;160;158,4
30;СЕ-2-802;20;ТМ-10;160;81,4
31;СЕ-2-28;80;ТМ-10;630;
32;СЕ-2-807П;;ТМ-10;100;
33;СЕ-2-143;40;ТМ-10;250;206,3
34;СЕ-2-141;20;ТМ-10;160;37,9
35;СЕ-2-17;50;ТМ-10;400;211,5
36;СЕ-2-828П;;ТМ-10;400;
37;СЕ-2-90;40;ТМ-10;250;116,5
38;СЕ-2-91;40;ТМ-10;250;131,1
39;СЕ-2-850П;;ТМ-10;400;
40;СЕ-2-21;50;ТМ-10;400;220,7
41;СЕ-2-18;40;ТМ-10;250;157,7
42;СЕ-2-881;16;ТМ-10;100;73,6
43;СЕ-2-833П;;ТМ-10;100;
44;СЕ-2-832П;;ТМ-10;250;
45;СЕ-2-83;16;ТМ-10;100;22,7
45;СЕ-2-1187;40;ТМ-10;250;
46;СЕ-2-11;10;ТМ-10;50;7,8
47;СЕ-2-12П;;ТМ-10;100;
48;СЕ-2-134П;;ТМ-10;90;
49;СЕ-2-1131П;;ТМ-10;100;
50;СЕ-2-1177;5;ТМ-10;25;13
51;СЕ-2-1141П;;ТМ-10;25;
52;СЕ-2-120;5;ТМ-10;30;0,4
53;СЕ-2-121;8;ТМ-10;40;3,4
54;СЕ-2-1149;8;ТМ-10;40;7,1
55;СЕ-2-835П;;ТМ-10;250;
56;СЕ-2-878;20;ТМ-10;160;84,2
57;СЕ-2-38;;ТМ-10;630+400;455,6
58;СЕ-2-186;40;ТМ-10;250;
59;СЕ-2-15;50;ТМ-10;400;153,7
60;СЕ-2-16;20;ТМ-10;160;55,5
61;СЕ-2-837;10;ТМ-10;63;11,4
62;СЕ-2-140;16;ТМ-10;100;39,4
63;СЕ-2-1115П;;ТМ-10;160;
64;СЕ-2-14;50;ТМ-10;400;247,3
65;СЕ-2-818П;50;ТМ-10;400;
66;СЕ-2-187П;;ТМ-10;63;
67;СЕ-2-864П;;ТМ-10;25;
68;СЕ-2-838П;;ТМ-10;63;
69;СЕ-2-1161П;;ТМ-10;25;
70;СЕ-2-815П;;ТМ-10;63;
71;СЕ-2-1175;10;ТМ-10;63;30
72;СЕ-2-858П;;ТМ-10;63;
73;СЕ-2-1160;10;ТМ-10;63;9,1
74;СЕ-2-1184;20;ТМ-10;160;
СЕ-4;;;;;
№ П/П;№ ТП;;Марка трансформатора;Мощность, кВА;Загрузка, кВт
1;СЕ-4-20П;;ТМ-10;630;
2;СЕ-4-1125П;;ТМ-10;2х630;
3;СЕ-4-1150П;;ТМ-10;63;
4;СЕ-4-06;10;ТМ-10;60;0,4
5;СЕ-4-1153П;;ТМ-10;100;
6;СЕ-4-19П;;ТМ-10;4;
7;СЕ-4-82;20;ТМ-10;160;17
8;СЕ-4-03;40;ТМ-10;250;127
9;СЕ-4-04;5;ТМ-10;30;0,3
10;СЕ-4-192П;;ТМ-10;25;
11;СЕ-4-191П;;ТМ-10;25;
12;СЕ-4-74;40;ТМ-10;250;120
13;СЕ-4-78;80;ТМ-10;630;291
14;СЕ-4-77;;ТМ-10;630+400;475
15;СЕ-4-81;20;ТМ-10;160;14,7
16;СЕ-4-1168П;;ТМ-10;2х250;
СЕ-5;;;;;
№ П/П;№ ТП;;Марка трансформатора;Мощность, кВА;Загрузка, кВт
1;СЕ-5-07;40;ТМ-10;250;46,4
2;СЕ-5-137;40;ТМ-10;250;0
3;СЕ-5-46П;;ТМ-10;2х250;
4;СЕ-5-130;20;ТМ-10;160;140,2
5;СЕ-5-48;40;ТМ-10;250;186
6;СЕ-5-30;50;ТМ-10;400;279,7
7;СЕ-5-66;40;ТМ-10;250;133,9
8;СЕ-5-57;20;ТМ-10;160;92,7
9;СЕ-5-72П;;ТМ-10;630;
10;СЕ-5-1144П;;ТМ-10;630;
11;СЕ-5-49;20;ТМ-10;180;97,8
12;СЕ-5-61;80;ТМ-10;630;247,3
13;СЕ-5-129;16;ТМ-10;100;42,6
14;СЕ-5-58;20;ТМ-10;250;254,6
15;СЕ-5-135;10;ТМ-10;63;18,7
16;СЕ-5-199П;;ТМ-10;400;
17;СЕ-5-185П;;ТМ-10;630;
18;СЕ-5-806П;;ТМ-10;250;
19;СЕ-5-59П;;ТМ-10;630;
20;СЕ-5-60;16;ТМ-10;100;24,1
21;СЕ-5-67;40;ТМ-10;250;208,7
22;СЕ-5-42;40;ТМ-10;250;246,8
23;СЕ-5-63;50;ТМ-10;400;265,1
24;СЕ-5-62;20;ТМ-10;160;220,1
25;СЕ-5-69;40;ТМ-10;250;216,5
26;СЕ-5-133;20;ТМ-10;160;79,5
27;СЕ-5-195;50;ТМ-10;400;202,6
28;СЕ-5-844;20;ТМ-10;160;122,2
29;СЕ-5-64;20;ТМ-10;160;179,6
30;СЕ-5-1114;40;ТМ-10;250;37,3
31;СЕ-5-27;40;ТМ-10;250;187,8
32;СЕ-5-28;80;ТМ-10;630;479
33;СЕ-5-1103П;;ТМ-10;250;
34;СЕ-5-123;16;ТМ-10;100;73,9
35;СЕ-5-21;20;ТМ-10;160;
36;СЕ-5-65;20;ТМ-10;160;114,3
37;СЕ-5-68;;ТМ-10;63+160;22,1
38;СЕ-5-1178П;;ТМ-10;160;
39;СЕ-5-1119П;;ТМ-10;630;
40;СЕ-5-1137П;;ТМ-10;25;
41;СЕ-5-131;20;ТМ-10;160;161,6
42;СЕ-5-1135;40;ТМ-10;250;22,4
43;СЕ-12-1162;;ТМ-10;2х400;18,6
СЕ-7;;;;;
№ П/П;№ ТП;;Марка трансформатора;Мощность, кВА;Загрузка, кВт
1;СЕ-5-07;40;ТМ-10;250;46,4
2;СЕ-5-46П;;ТМ-10;2х250;
3;СЕ-7-77;40;ТМ-10;250;
4;СЕ-7-814П;;ТМ-10;63;
5;СЕ-7-70П;;ТМ-10;250;
6;СЕ-7-149;16;ТМ-10;100;58,4
7;СЕ-7-841П;;ТМ-10;160;
8;СЕ-7-71П;;ТМ-10;630;
9;СЕ-7-72П;;ТМ-10;630;
10;СЕ-7-136;40;ТМ-10;250;101,4
11;СЕ-7-73П;;ТМ-10;400;
12;СЕ-7-75П;;ТМ-10;2х630;
13;СЕ-7-198П;;ТМ-10;250;
14;СЕ-7-825П;;ТМ-10;63;
15;СЕ-7-76П;;ТМ-10;160;
16;СЕ-7-49;40;ТМ-10;250;
17;СЕ-7-841П;;ТМ-10;630;
18;СЕ-7-52;10;ТМ-10;60;7,7
19;СЕ-7-1154П;;ТМ-10;1000;
20;СЕ-7-1152П;;ТМ-10;250;
21;СЕ-7-53;40;ТМ-10;250;11,4
22;СЕ-7-855П;;ТМ-10;63;
23;СЕ-7-55;5;ТМ-10;30;0,3
24;СЕ-7-54;16;ТМ-10;100;4,3
25;СЕ-7-805;20;ТМ-10;160;
26;СЕ-7-139;10;ТМ-10;63;6,5
27;СЕ-7-51П;;ТМ-10;63;
28;СЕ-7-56;16;ТМ-10;100;41,4
29;СЕ-7-138П;;ТМ-10;160;
30;СЕ-7-142;20;ТМ-10;160;51,7
31;СЕ-7-150П;;ТМ-10;160;
32;СЕ-7-1176;10;ТМ-10;63;31
СЕ-9;;;;;
№ П/П;№ ТП;;Марка трансформатора;Мощность, кВА;Загрузка, кВт
1;СЕ-4-1125П;;ТМ-10;2х630;
2;СЕ-5-47П;;ТМ-10;2х630;
3;СЕ-9-1116П;;ТМ-10;1600;
4;СЕ-9-1117П;;ТМ-10;1000;
5;СЕ-9-1168П;;ТМ-10;2х250;
СЕ-12;;;;;
№ П/П;№ ТП;;Марка трансформатора;Мощность, кВА;Загрузка, кВт
1;СЕ-12-01;31;ТМ-10;180;76
2;СЕ-12-1162;;ТМ-10;2х400;18,6
СМ-1;;;;;
№ П/П;№ ТП;;Марка трансформатора;Мощность, кВА;Загрузка, кВт
1;СМ-1-530;30;ТМ-10;250;121,5
2;СМ-1-560;16;ТМ-10;160;118,1
3;СМ-1-552;30;ТМ-10;250;143,7
4;СМ-1-549;30;ТМ-10;250;68,2
5;СМ-1-541;30;ТМ-10;250;139,8
6;СМ-1-528П;;ТМ-10;200;
7;СМ-1-527;16;ТМ-10;100;90,6
8;СМ-1-548;16;ТМ-10;100;88,1
9;СМ-1-532;30;ТМ-10;250;123,8
10;СМ-1-746П;;ТМ-10;160;
11;СМ-1-720П;;ТМ-10;100;
12;СМ-1-714П;;ТМ-10;40;
13;СМ-1-730П;;ТМ-10;100;
14;СМ-1-755П (Не Подключена);;ТМ-10;40;
15;СМ-1-1501;30;ТМ-10;40;22
16;СМ-1-1503П;;ТМ-10;25;
17;СМ-1-534;16;ТМ-10;63;3,2
18;СМ-1-721П;;ТМ-10;400;
19;СМ-1-756;10;ТМ-10;100;0
20;СМ-1-711П (СМ СУ);10;ТМ-10;100;
21;СМ-1-537;5;ТМ-10;25;7,1
22;СМ-1-719П;;ТМ-10;250;
23;СМ-1-763П;;ТМ-10;10;
24;СМ-1-735П;;ТМ-10;10;
25;СМ-1-533;20;ТМ-10;160;0,6
26;СМ-1-535;16;ТМ-10;160;10,5
27;СМ-1-740;63;ТМ-10;63;11,2
28;СМ-1-512;45;ТМ-10;400;79
29;СМ-1-554;16;ТМ-10;250;66,1
30;СМ-1-536;30;ТМ-10;250;54,8
31;СМ-1-539;10;ТМ-10;100;29,7
32;СМ-1-550;45;ТМ-10;400;60,5
33;СМ-1-580П;;ТМ-10;100;
34;СМ-1-583П;;ТМ-10;100;
35;СМ-1-705П;;ТМ-10;40;
36;СМ-1-582П;;ТМ-10;400+400;
37;СМ-1-553;16;ТМ-10;100;0,8
38;СМ-1-747П;;ТМ-10;40;
39;СМ-1-538;10;ТМ-10;100;48
40;СМ-1-585П;;ТМ-10;30;
41;СМ-1-559П;;ТМ-10;100;
42;СМ-1-551;10;ТМ-10;100;5,2
43;СМ-1-589П;;ТМ-10;100;
44;СМ-1-588П;;ТМ-10;250;
45;СМ-1-1504П;;ТМ-10;25;
46;СМ-1-529;20;ТМ-10;160;48,2
47;СМ-1-594;20;ТМ-10;160;4,3
48;СМ-1-531;20;ТМ-10;160;2,2
49;СМ-1-743П;;ТМ-10;100;
50;СМ-1-776П;;ТМ-10;63;
51;СМ-1-782П;;ТМ-10;100;
52;СМ-1-777П;;ТМ-10;100;
53;СМ-1-728П;;ТМ-10;10;
54;СМ-1-727П;;ТМ-10;25;
55;СМ-1-713П;;ТМ-10;25;
56;СМ-1-778П;;ТМ-10;63;
57;СМ-1-729П;;ТМ-10;10;
58;СМ-1-745П;;ТМ-10;25;
59;СМ-1-760П;;ТМ-10;25;
60;СМ-1-718П;;ТМ-10;10;
61;СМ-1-744П;;ТМ-10;10;
62;СМ-1-598П;;ТМ-10;25;
63;СМ-1-597П;;ТМ-10;25;
64;СМ-1-757П;;ТМ-10;25;
65;СМ-1-759П;;ТМ-10;25;
66;СМ-1-758П;;ТМ-10;25;
67;СМ-1-779П;;ТМ-10;100;
68;СМ-1-780П;;ТМ-10;100;
69;СМ-1-726П;;ТМ-10;25;
70;СМ-1-781П;;ТМ-10;40;
71;СМ-1-784П;;ТМ-10;100;
72;СМ-1-1502П;;ТМ-10;25;
73;СМ-1-782П;;ТМ-10;100;
74;СМ-1-733П;;ТМ-10;25;
75;СМ-1-1510;30;ТМ-10;25;
76;СМ-1-788П;;ТМ-10;160;
77;СМ-1-795;45;ТМ-10;400;39,7
78;СМ-1-796;16;ТМ-10;100;24,6
79;СМ-1-791П;;ТМ-10;63;
80;СМ-1-797;30;ТМ-10;250;34,2
81;СМ-1-798;32;ТМ-10;250;130
82;СМ-1-799;16;ТМ-10;100;0,6
83;СМ-1-792;15;ТМ-10;250;48
84;СМ-1-787П;;ТМ-10;100;
85;СМ-1-793П;;ТМ-10;160;
86;СМ-1-794;15;ТМ-10;160;17,1
СМ-3;;;;;
№ П/П;№ ТП;;Марка трансформатора;Мощность, кВА;Загрузка, кВт
1;СМ-3-524П;32;ТМ-10;250;
2;СМ-3-556;75;ТМ-10;250;3,8
3;СМ-3-584П;;ТМ-10;160;
4;СМ-3-525;30;ТМ-10;250;152
5;СМ-3-565П;;ТМ-10;63;
6;СМ-3-566;20;ТМ-10;160;80,5
7;СМ-3-540;16;ТМ-10;160;94
8;СМ-3-526;32;ТМ-10;400;169,9
9;СМ-3-555;10;ТМ-10;100;66
10;СМ-3-523;30;ТМ-10;250;124,5
11;СМ-3-573;30;ТМ-10;250;180,5
12;СМ-3-521;16;ТМ-10;250;147,7
13;СМ-3-564;15;ТМ-10;100;53,4
14;СМ-3-543;16;ТМ-10;250;35
15;КС-11-570;50;ТМ-10;400;191
СМ-5;;;;;
№ П/П;№ ТП;;Марка трансформатора;Мощность, кВА;Загрузка, кВт
1;СМ-5-761;5;ТМ-10;25;3,3
2;СМ-5-522;32;ТМ-10;400;61,3
3;СМ-5-581П;;ТМ-10;160;
4;СМ-5-513;15;ТМ-10;100;41,4
5;СМ-5-547;30;ТМ-10;250;86,9
6;СМ-5-567;8;ТМ-10;63;40,1
7;СМ-5-546;16;ТМ-10;160;110,4
8;СМ-5-575;20;ТМ-10;250;114,3
9;СМ-5-577;10;ТМ-10;160;56,1
10;СМ-5-520;30;ТМ-10;250;141,9
11;СМ-5-545;16;ТМ-10;160;78
12;СМ-5-561;20;ТМ-10;160;59,3
13;СМ-5-593П;;ТМ-10;30;
14;СМ-5-576;40;ТМ-10;250;146,4
15;СМ-5-1509;30;ТМ-10;25;
16;НС-1-509;40;ТМ-10;250;31,1
СМ-7;;;;;
№ П/П;№ ТП;;Марка трансформатора;Мощность, кВА;Загрузка, кВт
1;СМ-7-754;10;ТМ-10;25;3
2;СМ-7-1505;10;ТМ-10;25;13
СХ-1;;;;;
№ П/П;№ ТП;;Марка трансформатора;Мощность, кВА;Загрузка, кВт
1;СХ-1-1024П;;ТМ-10;160;
2;СХ-1-451П;;ТМ-10;100;
3;СХ-1-437;20;ТМ-10;160;1,7
4;СХ-1-436;31,5;ТМ-10;250;99,6
5;СХ-1-459;20;ТМ-10;100;54,1
6;СХ-1-1047;10;ТМ-10;160;21,5
7;СХ-1-418;20;ТМ-10;400;254,1
8;СХ-1-454;8;ТМ-10;160;46,8
9;СХ-1-1074П;;ТМ-10;2х630;
10;СХ-1-1049П;;ТМ-10;2х800;
11;СХ-1-471;20;ТМ-10;250;142,9
12;СХ-1-419;30;ТМ-10;400;101,3
13;СХ-2-1081П;;ТМ-10;2х1000;
14;СХ-1-1020;50;ТМ-10;2х160;0
15;СХ-3-420;20;ТМ-10;250;125,2
16;СХ-1-476;40;ТМ-10;400;302,4
17;СХ-1-1014П;;ТМ-10;100;
18;СХ-1-485;50;ТМ-10;2х630;250,3
19;СХ-1-1088;50;ТМ-10;2х400;
20;СХ-1-1045П;;ТМ-10;250;
21;СХ-1-452;40;ТМ-10;2х630;245,4
22;СХ-1-1046П;;ТМ-10;160;
23;СХ-1-1048П;;ТМ-10;100;
24;СХ-1-1019П;;ТМ-10;630;
25;СХ-1-453;40;ТМ-10;2х400;146,6
26;СХ-1-1054П;;ТМ-10;250;
27;СХ-1-1061П;;ТМ-10;25;
28;СХ-2-465;40;ТМ-10;2х250;105,2
29;СХ-1-1085П;;ТМ-10;400х630;
СХ-2;;;;;
№ П/П;№ ТП;;Марка трансформатора;Мощность, кВА;Загрузка, кВт
1;СХ-2-1035П;;ТМ-10;160;
2;СХ-2-412П;;ТМ-10;160;
3;СХ-2-1035П;;ТМ-10;160;
4;СХ-2-475П;;ТМ-10;630;
5;СХ-2-481;20;ТМ-10;160;27,6
6;СХ-2-1021;30;ТМ-10;100;62,3
7;СХ-2-1055;31,5;ТМ-10;63;9,5
8;СХ-2-1060П;;ТМ-10;160;
9;СХ-2-1031П;;ТМ-10;160;
10;СХ-2-1022П;;ТМ-10;250;
11;СХ-2-447;40;ТМ-10;2х250;77,3
12;СХ-1-1085П;;ТМ-10;2х400;
13;СХ-2-438;15;ТМ-10;100;39,8
14;СХ-2-468П;;ТМ-10;63;
15;СХ-2-469П;;ТМ-10;160;
16;СХ-2-470;30;ТМ-10;160;79,8
17;СХ-2-463;15;ТМ-10;100;30,7
18;СХ-2-490П;;ТМ-10;63;
19;СХ-2-462П;;ТМ-10;250;
20;СХ-2-477;10;ТМ-10;63;36,5
21;СХ-2-1073П;;ТМ-10;1000;
22;СХ-2-1070П;;ТМ-10;400;
23;СХ-2-496;20;ТМ-10;250;129,5
24;СХ-2-489П;;ТМ-10;250;
25;СХ-2-484;30;ТМ-10;400;412,6
26;СХ-2-1074П;;ТМ-10;2х630;
27;СХ-1-1049П;;ТМ-10;2х800;
28;СХ-2-1081П;;ТМ-10;2х1000;
29;СХ-1-1020;;ТМ-10;2х160;0
30;СХ-2-1029П;;ТМ-10;100;
31;СХ-3-1027П;;ТМ-10;2х400;
32;СХ-2-427;40;ТМ-10;2х630;570
33;СХ-2-465;;ТМ-10;2х250;105,2
34;СХ-2-1058;20;ТМ-10;25;30,3
35;СХ-1-1088;;ТМ-10;2х400;368
СХ-3;;;;;
№ П/П;№ ТП;;Марка трансформатора;Мощность, кВА;Загрузка, кВт
1;СХ-3-410;30;ТМ-10;250;20
2;СХ-3-429;15;ТМ-10;160;149,8
3;СХ-3-450;20;ТМ-10;160;83,2
4;СХ-3-408;45;ТМ-10;400;146,5
5;СХ-3-407П;;ТМ-10;100;
6;СХ-3-406;45;ТМ-10;630;343,9
7;СХ-3-442П;;ТМ-10;63;
8;СХ-3-426;10;ТМ-10;250;170,5
9;СХ-3-448;20;ТМ-10;250;149,4
10;СХ-3-1028;15;ТМ-10;160;15,3
11;СХ-3-423;45;ТМ-10;400;316,5
12;СХ-3-472;15;ТМ-10;160;111,4
13;СХ-3-417;30;ТМ-10;250;121,6
14;СХ-3-424;20;ТМ-10;250;221,4
15;СХ-3-1069П;;ТМ-10;160;
16;СХ-3-425;15;ТМ-10;250;97,3
17;СХ-3-461;20;ТМ-10;250;115,4
18;СХ-3-421;30;ТМ-10;250;205,5
19;СХ-3-435;20;ТМ-10;400;153,6
20;СХ-3-422;55;ТМ-10;630;394
21;СХ-3-1072П;;ТМ-10;250;
22;СХ-3-420;20;ТМ-10;250;125,2
23;СХ-3-1027П;;ТМ-10;2х400;
ХК-5;;;;;
№ П/П;№ ТП;;Марка трансформатора;Мощность, кВА;Загрузка, кВт
1;ХК-5-414;12;ТМГ-10;400;102,6
2;ХК-5-413;20;ТМ-10;160;75
3;ХК-5-1015П;;ТМ-10;100;
4;ХК-5-439П;;ТМ-10;100;
5;ХК-5-1065П;;ТМ-10;25;
6;ХК-5-415;30;ТМ-10;2х250;
7;ХК-5-416;5;ТМГ-10;30;6,7
8;ХК-5-1082;20;ТМ-10;25;13
9;ХК-5-1071П;;ТМ-10;25;
10;ХК-5-1056П;;ТМ-10;25;
11;ХК-5-1006П;;ТМ-10;40;
12;ХК-5-1004П;;ТМ-10;25;
13;ХК-5-411;20;ТМ-10;250;10,5
14;ХК-5-1039П;;ТМ-10;160;
15;ХК-5-1050П;;ТМ-10;160;
16;ХК-5-1087П;;ТМ-10;63;
17;ХК-5-1016П;;ТМ-10;250;
18;ХК-5-1017;20;ТМ-10;400;
19;ХК-5-1042П;;ТМ-10;250;
20;ХК-5-1076П;;ТМ-10;160;
21;ХК-5-1008П;;ТМ-10;1000;
22;ХК-5-1064П;;ТМ-10;400;
23;ХК-5-1077П;;ТМ-10;250;
24;ХК-5-1086П;;ТМ-10;160;
25;ХК-5-1075;20;ТМ-10;63;30
26;ХК-5-1033П;;ТМ-10;25;
27;ХК-5-1078П;;ТМ-10;160;
А-2;;;;;
№ П/П;№ ТП;;Марка трансформатора;Мощность, кВА;Загрузка, кВт
1;А-2-444;70;ТМ-6;250;143,6
2;А-2-1044П;;ТМ-6;160;
3;А-2-1012П;;ТМ-6;100;
4;А-2-400П;;ТМ-6;25;
5;А-7-401;70;ТМ-6;2х400;368
6;А-2-1063;20;ТМ-6;40;0
7;А-2-1067;40;ТМ-6;250;33,6
А-4;;;;;
№ П/П;№ ТП;;Марка трансформатора;Мощность, кВА;Загрузка, кВт
1;А-4-466;20;ТМ-6;63;29
2;А-4-430;40;ТМ-6;250;120
3;А-4-428;30;ТМ-6;160;74
4;А-4-1030;12;ТМ-6;100;18,7
5;А-4-1040;10;ТМ-6;63;29
6;А-4-482;31,5;ТМ-6;180;21,9
7;А-4-497П;;ТМ-6;63;
А-5;;;;;
№ П/П;№ ТП;;Марка трансформатора;Мощность, кВА;Загрузка, кВт
1;А-5-457;20;ТМ-6;160;30,3
А-6;;;;;
№ П/П;№ ТП;;Марка трансформатора;Мощность, кВА;Загрузка, кВт
1;А-6-1001П;;ТМ-6;630;
2;А-6-1036П;;ТМ-6;250;
3;А-6-431;20;ТМ-6;100;1,2
4;А-6-487П;;ТМ-6;100;
5;А-6-1002П;;ТМ-6;250;
6;А-6-464П;;ТМ-6;2х400;
7;А-6-409П;;ТМ-6;160;
8;А-6-434П;;ТМ-6;450;
9;А-6-439П;;ТМ-6;100;
10;А-6-432;16;ТМ-6;100;
11;А-6-433;9;ТМ-6;63;10,8
12;А-6-455;30;ТМ-6;160;74
А-7;;;;;
№ П/П;№ ТП;;Марка трансформатора;Мощность, кВА;Загрузка, кВт
1;А-7-480;45;ТМ-6;250;3,5
2;А-7-1068П;;ТМ-6;250;
3;А-7-402;50;ТМ-6;315;0
4;А-7-403П;;ТМ-6;250;
5;А-7-441П;;ТМ-6;2х630;
6;А-7-456;30;ТМ-6;160;2,7
7;А-7-445;7;ТМ-6;100;7,9
8;А-7-405П;;ТМ-6;315;
9;А-7-1003П;;ТМ-6;250;
10;А-7-494;20;ТМ-6;630;5,9
11;А-7-458П;;ТМ-6;250;
12;А-7-1010П;;ТМ-6;100;
13;А-7-1015П;;ТМ-6;250;
14;А-7-404;70;ТМ-6;2х100;120,8
15;А-7-498П;;ТМ-6;250;
16;А-7-1079П;;ТМ-6;25;
17;А-7-460;50;ТМ-6;250;5,5
18;А-7-1011П;;ТМ-6;100;
19;А-7-401;70;ТМ-6;2х400;368
20;А-7-1037П;;ТМ-6;400;
21;А-7-1023П;;ТМ-6;250;
22;А-7-1051П;;ТМ-6;630;
23;А-7-1026;20;ТМ-6;250;33,6
24;А-7-1052П;;ТМ-6;630;
25;А-7-1032П;;ТМ-6;630;
ВИТИМ;;;;;
№ П/П;№ ТП;;Марка трансформатора;Мощность, кВА;Загрузка, кВт
1;ВИТИМ-901П;;ТМ-6;30;
2;ВИТИМ-371П;;ТМ-6;40;
3;ВИТИМ-372;30;ТМ-6;160;74
4;ВИТИМ-375;45;ТМ-6;250;109
5;ВИТИМ-935П;;ТМ-6;25;
6;ВИТИМ-374;10;ТМ-6;250;90,6
7;ВИТИМ-370;24,1;ТМ-6;250;10,5
8;ВИТИМ-378;100;ТМ-6;630;97,3
9;ВИТИМ-377;31,5;ТМ-6;250;120
10;ВИТИМ-379П;;ТМ-6;630;
11;ВИТИМ-373;31,5;ТМ-6;250;26,2
И-83;;;;;
№ П/П;№ ТП;;Марка трансформатора;Мощность, кВА;Загрузка, кВт
1;И-83-196П;;ТМ-10;25;
2;И-83-1123П;;ТМ-10;63;
3;И-83-188;3,5;ТМ-10;25;3,7
4;И-83-1171П;;ТМ-10;25;
5;И-83-50;30;ТМ-10;630;364,6
6;И-83-819П;;ТМ-10;30;
7;И-83-863П;;ТМ-10;25;
8;И-83-84П;;ТМ-10;250;
9;И-83-820П;;ТМ-10;630;
10;И-83-22;20;ТМ-10;630;0
11;И-83-823П;;ТМ-10;250;
12;И-83-24;20;ТМ-10;160;8,6
13;И-83-1140П;;ТМ-10;250;
14;И-83-1169П;;ТМ-10;25;
15;И-83-184;31,5;ТМ-10;400;191
16;И-83-25;10;ТМ-10;160;29,5
17;И-83-144П;;ТМ-10;4;
18;И-83-885П;;ТМ-10;160;
19;И-83-26;10;ТМ-10;63;9,2
20;И-83-183;30;ТМ-10;100;45,6
21;И-83-1155;20;ТМГ-10;160;9,8
22;И-83-1124;20;ТМ-10;160;79
23;И-83-182;30;ТМ-10;400;220
24;И-83-1183;20;ТМГ-10;160;78
И-95;;;;;
№ П/П;№ ТП;;Марка трансформатора;Мощность, кВА;Загрузка, кВт
1;И-95-85;31,5;ТМ-6;400;194
2;И-95-1166П;;ТМ-6;100;
3;И-95-882П;;ТМ-6;63;
4;И-95-1128П;;ТМ-6;25;
5;И-95-197П;;ТМ-6;400;
6;И-95-803П;;ТМ-6;630;
7;И-95-116П;;ТМ-6;400;
8;И-95-145;31,5;ТМ-6;250;36,3
9;И-95-86П;;ТМ-6;400;
10;И-95-1159П;;ТМ-6;25;
11;И-95-853П;;ТМ-6;25;
12;И-95-831П;;ТМ-6;25;
13;И-95-834П;;ТМ-6;25;
14;И-95-87П;;ТМ-6;400;
15;И-95-88П;20;ТМ-6;250;
16;И-95-89;20;ТМ-6;160;1,1
17;И-95-865П;;ТМ-6;25;
И-141;;;;;
№ П/П;№ ТП;;Марка трансформатора;Мощность, кВА;Загрузка, кВт
1;И-141-106П;;ТМ-6;630+250;
2;И-141-107П;;ТМ-6;160;
3;И-141-1142;20;ТМ-6;160;134,3
4;И-141-108;20;ТМ-6;250;129,7
5;И-141-115;20;ТМ-6;160;31,1
6;И-141-80;20;ТМ-6;250;74,3
7;И-141-827П;;ТМ-6;250;
8;И-141-111;20;ТМГ-6;630;159,1
9;И-141-113;31;ТМ-6;160;29
10;И-141-142;20;ТМ-6;100;
11;И-141-1122;7,5;ТМ-6;100;17,4
12;И-141-801;16;ТМ-6;160;14,4
13;И-141-109;15;ТМ-6;250;67
14;И-141-839П;;ТМ-6;160;
15;И-141-861;7,5;ТМГ-6;100;8,6
16;И-141-110П;;ТМ-6;100;
17;И-142-122П;;ТМ-6;100;
И-142;;;;;
№ П/П;№ ТП;;Марка трансформатора;Мощность, кВА;Загрузка, кВт
1;И-142-1138;20;ТМ-6;100;49
2;И-142-846П;;ТМ-6;250;
3;И-142-1185;5;ТМГ-6;25;
4;И-142-119;20;ТМ-6;250;85,5
5;И-141-110П;;ТМ-6;100;
6;И-142-122П;;ТМ-6;100;
